,station number,datetime,Gage height (ft),Precipitation (in),Discharge (ft^3/S)
304,2172035,2016-10-07 01:20,,0.0,
305,2172035,2016-10-07 01:25,,0.0,
306,2172035,2016-10-07 01:30,4.24,0.0,5.18
307,2172035,2016-10-07 01:35,,0.0,
308,2172035,2016-10-07 01:40,,0.0,
309,2172035,2016-10-07 01:45,4.24,0.0,5.18
310,2172035,2016-10-07 01:50,,0.0,
311,2172035,2016-10-07 01:55,,0.0,
312,2172035,2016-10-07 02:00,4.24,0.0,5.18
313,2172035,2016-10-07 02:05,,0.0,
314,2172035,2016-10-07 02:10,,0.0,
315,2172035,2016-10-07 02:15,4.24,0.0,5.18
316,2172035,2016-10-07 02:20,,0.0,
317,2172035,2016-10-07 02:25,,0.0,
318,2172035,2016-10-07 02:30,4.24,0.0,5.18
319,2172035,2016-10-07 02:35,,0.0,
320,2172035,2016-10-07 02:40,,0.0,
321,2172035,2016-10-07 02:45,4.24,0.0,5.18
322,2172035,2016-10-07 02:50,,0.0,
323,2172035,2016-10-07 02:55,,0.0,
324,2172035,2016-10-07 03:00,4.24,0.0,5.18
325,2172035,2016-10-07 03:05,,0.0,
326,2172035,2016-10-07 03:10,,0.0,
327,2172035,2016-10-07 03:15,4.24,0.0,5.18
328,2172035,2016-10-07 03:20,,0.0,
329,2172035,2016-10-07 03:25,,0.0,
330,2172035,2016-10-07 03:30,4.24,0.0,5.18
331,2172035,2016-10-07 03:35,,0.0,
332,2172035,2016-10-07 03:40,,0.0,
333,2172035,2016-10-07 03:45,4.24,0.0,5.18
334,2172035,2016-10-07 03:50,,0.0,
335,2172035,2016-10-07 03:55,,0.0,
336,2172035,2016-10-07 04:00,4.24,0.0,5.18
337,2172035,2016-10-07 04:05,,0.0,
338,2172035,2016-10-07 04:10,,0.0,
339,2172035,2016-10-07 04:15,4.24,0.0,5.18
340,2172035,2016-10-07 04:20,,0.0,
341,2172035,2016-10-07 04:25,,0.0,
342,2172035,2016-10-07 04:30,4.24,0.0,5.18
343,2172035,2016-10-07 04:35,,0.0,
344,2172035,2016-10-07 04:40,,0.0,
345,2172035,2016-10-07 04:45,4.24,0.0,5.18
346,2172035,2016-10-07 04:50,,0.0,
347,2172035,2016-10-07 04:55,,0.0,
348,2172035,2016-10-07 05:00,4.23,0.0,5.04
349,2172035,2016-10-07 05:05,,0.0,
